City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Benguela,AO,-12.5763,13.4055,72.01,77,70,3.76,broken clouds
169,Harper,LR,4.375,-7.7169,76.01,84,23,7.74,few clouds
170,Khiri Mat,TH,16.8333,99.8,74.3,97,100,4.12,overcast clouds
171,Baillif,GP,16.0202,-61.7463,81.9,81,100,12.28,overcast clouds
172,Hualmay,PE,-11.0964,-77.6139,62.74,83,20,10.96,few clouds
173,Laiyang,CN,36.9758,120.7136,63.64,56,12,17.83,few clouds
174,Olafsvik,IS,64.8945,-23.7142,49.37,90,100,18.01,light rain
175,Alegrete,BR,-29.7831,-55.7919,63.81,73,100,7.07,light rain
176,Maldonado,UY,-34.6667,-54.9167,62.22,80,100,7.92,overcast clouds
177,Iskateley,RU,67.6803,53.1512,47.26,91,100,3.15,overcast clouds
178,Souillac,MU,-20.5167,57.5167,71.98,78,40,11.5,light rain
179,Oussouye,SN,12.485,-16.5469,76.86,85,100,2.93,overcast clouds
180,Evensk,RU,61.95,159.2333,46.13,41,28,2.26,scattered clouds
181,Waipawa,NZ,-41.4122,175.5153,55.67,66,100,9.82,overcast clouds
182,Katobu,ID,-4.9408,122.5276,76.55,88,100,3.22,overcast clouds
183,Leningradskiy,RU,69.3833,178.4167,33.55,98,100,20.96,light snow
184,Mitsamiouli,KM,-11.3847,43.2844,75.31,81,6,10.49,clear sky
185,Dudinka,RU,69.4058,86.1778,38.07,95,100,7.94,overcast clouds
186,Oranjemund,NA,-28.55,16.4333,52.43,88,19,8.12,light rain
187,Natal,BR,-5.795,-35.2094,77.11,78,39,13.38,scattered clouds
188,Faya,SA,18.3851,42.4509,68.2,58,76,2.64,broken clouds
189,Victoria,HK,22.2855,114.1577,82.33,85,58,8.99,broken clouds
190,Ilulissat,GL,69.2167,-51.1,37.42,100,100,1.14,fog
191,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,93,43,6.49,scattered clouds
192,Huarmey,PE,-10.0681,-78.1522,63.95,83,6,10.09,clear sky
193,Bell Ville,AR,-32.6259,-62.6887,61.18,89,93,4.97,overcast clouds
194,Karachi,PK,24.9056,67.0822,78.62,83,0,5.75,smoke
195,Vardo,NO,70.3705,31.1107,46.38,93,75,14.97,light rain
196,Lucapa,AO,-8.4192,20.7447,67.21,89,52,3.06,broken clouds
197,Sabzevar,IR,36.2126,57.6819,70.36,28,0,6.46,clear sky
198,Lalibela,ET,12.0333,39.0333,57.96,82,85,3.31,light rain
199,Praia,CV,14.9215,-23.5087,78.57,74,46,11.01,scattered clouds
200,Haines Junction,CA,60.7522,-137.5108,53.82,54,75,3.87,broken clouds
201,Guozhen,CN,34.3659,107.359,65.32,98,100,3.33,overcast clouds
202,Pajapan,MX,18.25,-94.7,77.16,84,68,8.41,broken clouds
203,Waw,SS,7.7029,27.9953,70.86,94,30,3.13,scattered clouds
204,Bengkulu,ID,-3.8004,102.2655,74.48,89,100,2.51,overcast clouds
205,Huari,PE,-9.3333,-77.2333,50.14,66,79,2.35,moderate rain
206,Kijang,KR,35.2442,129.2139,75.74,94,100,30.44,moderate rain
207,Mangrul Pir,IN,20.3167,77.35,72.61,93,100,8.63,moderate rain
208,Pisco,PE,-13.7,-76.2167,64.45,77,0,8.05,clear sky
209,Vestmannaeyjar,IS,63.4427,-20.2734,48.56,87,100,31.56,light rain
210,Komsomolskiy,UZ,40.4272,71.7189,65.12,45,31,6.91,scattered clouds
211,Niksic,ME,42.7731,18.9445,42.66,56,0,3.8,clear sky
212,Ajdabiya,LY,30.7554,20.2263,77.76,61,0,8.08,clear sky
213,Avarua,CK,-21.2078,-159.775,78.85,73,75,4.61,broken clouds
214,Bogalusa,US,30.791,-89.8487,87.78,71,74,0.81,broken clouds
215,Awjilah,LY,29.1081,21.2869,81.99,25,0,7.49,clear sky
216,Khorinsk,RU,52.1657,109.7726,33.44,79,0,2.08,clear sky
217,Bambanglipuro,ID,-7.95,110.2833,76.78,83,100,6.08,overcast clouds
218,Faanui,PF,-16.4833,-151.75,78.75,71,21,19.53,few clouds
219,Castro,BR,-24.7911,-50.0119,52.41,92,0,8.08,clear sky
220,Coihaique,CL,-45.5752,-72.0662,35.35,94,100,3.49,overcast clouds
221,Namibe,AO,-15.1961,12.1522,61.72,86,78,9.66,broken clouds
222,Okha,RU,53.5739,142.9478,54.27,96,100,17.02,light rain
223,Mnogovershinnyy,RU,53.9353,139.9242,52.12,93,99,9.28,overcast clouds
224,Norwich,GB,52.6278,1.2983,52.25,83,20,4.61,few clouds
225,Solnechnyy,RU,50.7214,136.6319,52.23,80,28,9.17,scattered clouds
226,Lavrentiya,RU,65.5833,-171.0,39.4,81,100,11.05,overcast clouds
227,Vrangel,RU,42.7297,133.0839,59.67,69,99,8.88,overcast clouds
228,Villa Constitucion,AR,-33.2278,-60.3297,59.99,84,100,2.42,light rain
229,Tsabong,BW,-26.0217,22.401,60.93,29,43,13.49,scattered clouds
230,Kutum,SD,14.2,24.6667,78.78,45,95,3.91,overcast clouds
231,Barcelos,PT,41.5388,-8.6151,77.92,58,80,4.32,broken clouds
232,Aksarka,RU,66.5606,67.7975,46.22,90,100,11.88,overcast clouds
233,Tautira,PF,-17.7333,-149.15,78.31,72,22,17.65,few clouds
234,Mayskiy,RU,47.6931,40.1025,69.21,62,84,17.36,broken clouds
235,Amapa,BR,1.0,-52.0,78.76,57,58,3.62,broken clouds
236,Leirvik,NO,59.7798,5.5005,53.64,73,0,12.33,clear sky
237,Sukumo,JP,32.9333,132.7333,78.33,96,100,26.84,heavy intensity rain
238,Cabo San Lucas,MX,22.8909,-109.9124,93.61,75,90,11.9,overcast clouds
239,Sembakung,ID,3.8167,117.25,74.23,98,83,1.77,light rain
240,Dhana,IN,23.75,78.85,72.27,89,84,7.09,broken clouds
241,Talnakh,RU,69.4865,88.3972,36.0,100,100,2.8,light rain
242,Fortuna,US,40.5982,-124.1573,66.54,81,100,1.01,light rain
243,Awbari,LY,26.5921,12.7805,83.98,12,0,7.87,clear sky
244,Narsaq,GL,60.9167,-46.05,55.62,76,98,4.21,overcast clouds
245,Pontianak,ID,-0.0333,109.3333,73.38,100,75,3.44,broken clouds
246,Shirokiy,RU,49.758,129.523,37.58,63,28,16.89,scattered clouds
247,Hegang,CN,47.4,130.3667,46.45,62,69,11.54,broken clouds
248,Pacific Grove,US,36.6177,-121.9166,67.68,84,100,17.0,overcast clouds
249,Zaykovo,RU,57.5613,62.7568,51.12,71,88,1.63,overcast clouds
250,Anuchino,RU,43.9622,133.0544,55.38,68,0,8.59,clear sky
251,Sinnamary,GF,5.3833,-52.95,79.74,81,94,11.14,overcast clouds
252,Shwebo,MM,22.5667,95.7,76.1,92,69,8.61,broken clouds
253,Qingdao,CN,36.0986,120.3719,67.26,51,10,17.29,clear sky
254,Seymchan,RU,62.8833,152.4333,44.78,44,99,4.27,overcast clouds
255,La Ronge,CA,55.1001,-105.2842,64.65,40,19,10.31,few clouds
256,Ust-Nera,RU,64.5667,143.2,38.53,77,100,3.56,overcast clouds
257,Ikwiriri,TZ,-7.9562,38.9716,69.62,93,40,3.15,scattered clouds
258,Dasoguz,TM,41.8363,59.9666,66.81,24,88,7.07,overcast clouds
259,Kahului,US,20.8947,-156.47,86.97,72,64,3.0,broken clouds
260,Bredasdorp,ZA,-34.5322,20.0403,49.05,86,59,2.01,light rain
261,Koslan,RU,63.4564,48.8989,44.29,96,12,4.36,few clouds
262,Garden City,US,42.3256,-83.331,81.05,60,75,14.97,broken clouds
263,Mgandu,TZ,-5.95,34.1333,64.8,56,27,9.51,scattered clouds
264,Touros,BR,-5.1989,-35.4608,77.45,80,17,16.84,few clouds
265,Khatanga,RU,71.9667,102.5,24.89,82,12,10.33,few clouds
266,Beloha,MG,-25.1667,45.05,71.89,58,0,5.93,clear sky
267,Goma,CD,-1.6792,29.2228,62.98,82,97,3.13,overcast clouds
268,Zagreb,HR,45.8131,15.9775,57.88,82,0,2.3,clear sky
269,Hami,CN,42.8,93.45,64.38,19,13,4.76,few clouds
270,Songkhla,TH,6.8333,100.6667,80.83,94,100,1.99,overcast clouds
271,Codrington,AU,-38.2667,141.9667,51.03,86,43,12.01,scattered clouds
272,Opuwo,NA,-18.0607,13.84,62.38,43,0,5.82,clear sky
273,Naze,JP,28.3667,129.4833,77.52,86,100,19.42,overcast clouds
274,Nichinan,JP,31.6,131.3667,77.76,93,100,27.31,light rain
275,Luganville,VU,-15.5333,167.1667,80.98,80,96,15.12,overcast clouds
276,Upernavik,GL,72.7868,-56.1549,37.17,72,100,2.73,overcast clouds
277,Enumclaw,US,47.2043,-121.9915,75.38,47,12,7.0,few clouds
278,Sisimiut,GL,66.9395,-53.6735,42.98,86,100,15.08,overcast clouds
279,Rincon,US,32.296,-81.2354,79.92,75,75,9.22,broken clouds
280,Fort Nelson,CA,58.8053,-122.7002,60.39,41,75,18.41,shower rain
281,Porto Novo,BJ,6.4965,2.6036,74.77,92,87,7.36,moderate rain
282,Shetpe,KZ,44.1667,52.1167,72.79,27,0,13.4,clear sky
283,Mount Gambier,AU,-37.8333,140.7667,53.6,71,12,7.18,few clouds
284,Ambilobe,MG,-13.2,49.05,66.36,77,0,4.74,clear sky
285,Semnan,IR,35.5729,53.3971,71.76,31,0,1.41,clear sky
286,Tasiilaq,GL,65.6145,-37.6368,46.56,95,100,17.85,moderate rain
287,Skibbereen,IE,51.55,-9.2667,50.11,83,53,3.11,broken clouds
288,Turukhansk,RU,65.8167,87.9833,44.04,92,100,13.65,light rain
289,Along,IN,28.1667,94.7667,72.88,98,54,2.08,broken clouds
290,Ratnapura,LK,6.6828,80.3992,74.52,96,100,1.77,overcast clouds
291,Sydney,AU,-33.8679,151.2073,64.71,56,0,5.75,clear sky
292,Maningrida,AU,-12.0667,134.2667,83.34,66,97,6.31,overcast clouds
293,Janow Lubelski,PL,50.707,22.4104,48.49,81,100,12.93,overcast clouds
294,Chernyakhiv,UA,50.4565,28.6702,47.17,92,100,21.0,overcast clouds
295,Ribeira Grande,PT,38.5167,-28.7,73.89,89,88,5.66,overcast clouds
296,Seoul,KR,37.5683,126.9778,78.19,73,0,17.27,clear sky
297,Kalmunai,LK,7.4167,81.8167,79.2,78,100,4.05,overcast clouds
298,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,6.91,broken clouds
299,Tilichiki,RU,60.4667,166.1,44.02,51,0,8.63,clear sky
300,Atar,MR,20.5169,-13.0499,88.65,27,100,5.19,overcast clouds
301,Adrasmon,TJ,40.6472,69.9856,59.27,34,37,2.73,scattered clouds
302,Lompoc,US,34.6391,-120.4579,75.85,57,100,16.11,overcast clouds
303,Eenhana,NA,-17.4667,16.3333,70.12,29,0,12.55,clear sky
304,Yurimaguas,PE,-5.9,-76.0833,89.17,40,8,4.21,clear sky
305,Port Maria,JM,18.3685,-76.8895,84.06,88,60,5.86,broken clouds
306,Portland,US,45.5234,-122.6762,79.93,44,0,8.05,clear sky
307,Hasaki,JP,35.7333,140.8333,81.28,88,57,19.69,broken clouds
308,Dikson,RU,73.5069,80.5464,30.79,78,12,16.33,few clouds
309,Tigil,RU,57.8,158.6667,45.97,60,97,5.17,overcast clouds
310,Airai,TL,-8.9266,125.4092,67.62,36,80,2.37,broken clouds
311,Novorzhev,RU,57.0294,29.3338,50.63,82,100,7.65,overcast clouds
312,Kodiak,US,57.79,-152.4072,62.11,67,0,13.8,clear sky
313,Elizabethton,US,36.3487,-82.2107,74.97,75,0,0.0,clear sky
314,Tala,EG,30.6803,30.9429,69.15,78,0,3.67,clear sky
315,Wamba,NG,8.9333,8.6,71.44,96,95,1.12,moderate rain
316,Inhambane,MZ,-23.865,35.3833,72.25,90,1,14.58,clear sky
317,Cayenne,GF,4.9333,-52.3333,82.44,78,0,4.61,clear sky
318,Ekhabi,RU,53.5102,142.9671,54.19,96,100,16.84,light rain
319,Berlevag,NO,70.8578,29.0864,44.6,100,100,16.11,light rain
320,Tiznit,MA,29.5833,-9.5,65.14,77,0,3.02,clear sky
321,Sur,OM,22.5667,59.5289,81.05,77,6,12.97,clear sky
322,Kon Tum,VN,14.35,108.0,70.56,99,100,1.03,overcast clouds
323,Zemetchino,RU,53.4973,42.6163,67.53,85,92,7.0,light rain
324,Manono,CD,-7.3,27.4167,71.22,83,99,1.03,overcast clouds
325,Gaziantep,TR,37.0594,37.3825,67.93,40,0,0.0,clear sky
326,Norrkoping,SE,58.5942,16.1826,52.79,86,100,3.44,overcast clouds
327,Pachino,IT,36.7186,15.0907,75.31,70,40,5.35,scattered clouds
328,Tortosa,ES,40.8125,0.5216,70.25,84,94,1.99,overcast clouds
329,Aswan,EG,24.0934,32.907,83.48,19,2,8.23,clear sky
330,Xinqing,CN,48.2333,129.5,39.7,61,49,10.45,scattered clouds
331,Fuxin,CN,42.0156,121.6589,55.44,35,5,8.77,clear sky
332,Zhanaozen,KZ,43.3,52.8,71.1,28,0,10.94,clear sky
333,Ola,RU,59.5833,151.2833,46.71,68,100,5.91,overcast clouds
334,Aravete,EE,59.1403,25.7485,44.46,97,92,3.11,overcast clouds
335,Sharjah,AE,25.3573,55.4033,89.89,45,0,8.05,clear sky
336,West Wendover,US,40.7391,-114.0733,78.01,34,0,5.75,clear sky
337,Ulladulla,AU,-35.35,150.4667,59.9,43,3,12.53,clear sky
338,Buraydah,SA,26.326,43.975,83.89,15,4,6.58,clear sky
339,Kalengwa,ZM,-13.4659,25.0027,74.53,31,99,3.36,overcast clouds
340,Labuhan,ID,-6.8844,112.2051,77.2,81,42,9.71,scattered clouds
341,Charters Towers,AU,-20.1,146.2667,77.79,68,36,10.83,scattered clouds
342,Homer,US,59.6425,-151.5483,56.77,77,91,3.0,overcast clouds
343,Hof,DE,50.3167,11.9167,44.47,88,75,17.0,broken clouds
344,Bonthe,SL,7.5264,-12.505,75.0,88,99,6.51,light rain
345,Severo-Kurilsk,RU,50.6789,156.125,52.39,93,90,17.72,light rain
346,Tingo Maria,PE,-9.2895,-76.0088,74.52,84,52,1.57,broken clouds
347,Abu Samrah,SY,35.3029,37.1841,74.64,51,0,6.17,clear sky
348,Isangel,VU,-19.55,169.2667,79.72,72,71,12.88,broken clouds
