City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Beringovskiy,RU,2022-09-15 04:55:56,63.05,179.3167,44.89,95,100,18.45
145,Antsohihy,MG,2022-09-15 04:55:56,-14.8796,47.9875,77.2,41,71,11.12
146,Avarua,CK,2022-09-15 04:47:28,-21.2078,-159.775,73.45,73,20,13.8
147,Hami,CN,2022-09-15 04:50:07,42.8,93.45,82.17,13,0,7.63
148,Svetlogorsk,BY,2022-09-15 04:55:57,52.6333,29.7333,50.77,89,88,4.16
149,Bethel,US,2022-09-15 04:49:00,41.3712,-73.414,69.49,85,0,1.99
150,Monrovia,LR,2022-09-15 04:55:58,6.3005,-10.7969,76.24,84,98,8.32
151,Rosario,AR,2022-09-15 04:52:23,-32.9468,-60.6393,57.11,63,0,5.75
152,La Rochelle,FR,2022-09-15 04:54:46,46.1667,-1.15,67.87,88,75,10.36
153,Moctezuma,MX,2022-09-15 04:55:58,29.8,-109.6667,74.82,65,0,2.46
154,Gweta,BW,2022-09-15 04:55:59,-20.1833,25.2333,58.95,61,0,11.1
155,Husavik,IS,2022-09-15 04:47:28,66.0449,-17.3389,39.49,76,6,2.53
156,Uruzgan,AF,2022-09-15 04:56:00,32.8333,66.0,76.15,9,0,0.54
157,Wonthaggi,AU,2022-09-15 04:56:00,-38.6044,145.5913,61.83,77,63,1.5
158,Fairbanks,US,2022-09-15 04:51:02,64.8378,-147.7164,48.6,95,100,8.05
159,Ostrovnoy,RU,2022-09-15 04:56:01,68.0531,39.5131,48.52,80,92,7.02
160,Inhambane,MZ,2022-09-15 04:56:02,-23.865,35.3833,55.38,100,20,3.44
161,Klaksvik,FO,2022-09-15 04:56:02,62.2266,-6.589,47.32,74,75,16.64
162,Dudinka,RU,2022-09-15 04:56:03,69.4058,86.1778,42.62,90,100,15.82
163,Sao Filipe,CV,2022-09-15 04:48:53,14.8961,-24.4956,78.19,85,80,3.27
164,Antigonish,CA,2022-09-15 04:55:00,45.6169,-61.9986,65.82,83,4,13.22
165,Verin,ES,2022-09-15 04:56:03,41.9415,-7.4381,60.57,97,62,2.04
166,Rengasdengklok,ID,2022-09-15 04:56:04,-6.1592,107.2981,91.53,53,61,4.54
167,Pisco,PE,2022-09-15 04:56:04,-13.7,-76.2167,59.05,82,75,3.44
168,Barcelos,PT,2022-09-15 04:47:27,41.5388,-8.6151,67.84,94,100,6.78
169,Bushehr,IR,2022-09-15 04:56:05,28.9684,50.8385,91.49,62,0,6.91
170,Te Anau,NZ,2022-09-15 04:56:05,-45.4167,167.7167,44.87,80,94,5.97
171,Paeroa,NZ,2022-09-15 04:56:06,-37.3667,175.6667,59.99,61,62,7.18
172,Ponta Do Sol,PT,2022-09-15 04:47:38,32.6667,-17.1,72.23,86,0,3.09
173,Port Keats,AU,2022-09-15 04:56:06,-14.25,129.55,87.15,58,11,13.58
174,Ranfurly,NZ,2022-09-15 04:56:07,-45.1333,170.1,54.1,40,52,9.22
175,Constitucion,CL,2022-09-15 04:48:46,-35.3333,-72.4167,51.62,78,63,7.49
176,Kiruna,SE,2022-09-15 04:56:07,67.8557,20.2251,40.12,100,100,8.05
177,Vao,NC,2022-09-15 04:56:08,-22.6667,167.4833,69.22,65,87,12.73
178,Tasiilaq,GL,2022-09-15 04:47:36,65.6145,-37.6368,37.56,62,100,3.29
179,Solnechnyy,RU,2022-09-15 04:56:08,50.7214,136.6319,61.52,53,70,7.54
180,Nantucket,US,2022-09-15 04:56:09,41.2835,-70.0995,68.0,76,46,16.31
181,Mount Gambier,AU,2022-09-15 04:56:09,-37.8333,140.7667,64.31,45,8,17.27
182,Broken Hill,AU,2022-09-15 04:48:47,-31.95,141.4333,68.99,22,0,19.35
183,Whitianga,NZ,2022-09-15 04:57:10,-36.8333,175.7,56.01,59,25,9.89
184,College,US,2022-09-15 04:57:10,64.8569,-147.8028,48.58,95,100,8.05
185,Pedernales,DO,2022-09-15 04:57:10,18.0384,-71.744,81.66,65,86,4.27
186,Verkhoyansk,RU,2022-09-15 04:57:11,67.5447,133.385,42.96,51,99,2.3
187,Atambua,ID,2022-09-15 04:57:11,-9.1061,124.8925,85.78,47,43,1.9
188,Nanortalik,GL,2022-09-15 04:57:12,60.1432,-45.2371,46.89,78,43,5.01
189,Jiuquan,CN,2022-09-15 04:57:12,39.7432,98.5174,82.54,24,76,8.16
190,Sao Joao Da Barra,BR,2022-09-15 04:57:12,-21.6403,-41.0511,67.6,94,45,8.39
191,Kieta,PG,2022-09-15 04:57:13,-6.2167,155.6333,80.17,83,93,4.68
